uc_id,eng,phy
4,260,-25.0889
4,180,-17.56
4,100,-9.85
4,50,-4.95
5,180,17.62
5,100,9.87
5,50,4.96
6,180,-17.53
6,100,-9.87
6,50,-4.96
7,180,-17.59
7,100,-9.87
7,50,-4.96
8,180,17.56
8,100,9.86
8,50,4.96
9,180,17.56
9,100,9.87
9,50,4.96
10,180,-17.62
10,100,-9.9
10,50,-4.98
11,180,-17.55
11,100,-9.91
11,50,-4.98
12,180,17.7
12,100,9.92
12,50,4.99
13,180,-17.6
13,100,-9.89
13,50,-4.97
14,0,-0.08300626
14,50,-28.19263554
14,100,-54.53542886
14,150,-66.99082248
14,170,-69.53236141
14,180,-70.41851561
14,186,-70.82774732
14,192,-71.18159332
14,196,-71.40620889
14,200,-71.59697871
15,0,-0.09389143
15,50,-28.12800752
15,100,-54.49144387
15,150,-66.91716203
15,170,-69.47716249
15,180,-70.37716214
15,186,-70.80573436
15,192,-71.16573584
15,196,-71.38287812
15,200,-71.58859139
16,0,0.08188309
16,50,28.19692309
16,100,54.56923078
16,150,66.97846156
16,170,69.51692312
16,180,70.39384616
16,186,70.81076926
16,192,71.17230771
16,196,71.39076924
16,200,71.59076926
17,0,0.0613418
17,50,28.15233634
17,100,54.45236061
17,150,66.95391309
17,170,69.50776347
17,180,70.38776091
17,186,70.80929562
17,192,71.16622195
17,196,71.37545575
17,200,71.57237045
18,0,0.07758058
18,50,28.20857291
18,100,54.58857373
18,150,67.00286021
18,170,69.54857435
18,180,70.41143157
18,186,70.82571736
18,192,71.19428865
18,196,71.40000344
18,200,71.59428979
19,0,0.0571693
19,50,28.13201713
19,100,54.4657516
19,150,66.95718738
19,170,69.51718841
19,180,70.40861798
19,186,70.831473
19,192,71.19432961
19,196,71.41433463
19,200,71.61719138
20,0,0.07732946
20,50,28.25200552
20,100,54.55693389
20,150,66.99385843
20,170,69.53539676
20,180,70.41847496
20,186,70.83693623
20,192,71.20001331
20,196,71.41847472
20,200,71.61539787
21,0,0.06174236
21,50,28.06802266
21,100,54.34861419
21,150,66.93719628
21,170,69.51148504
21,180,70.41148555
21,186,70.84291481
21,192,71.21148645
21,196,71.43148733
21,200,71.63148796
22,0,0.06849648
22,50,28.19919441
22,100,54.57724538
22,150,67.0258405
22,170,69.57727416
22,180,70.4629886
22,186,70.88584698
22,192,71.24584765
22,196,71.46299263
22,200,71.66299211
23,0,0.05381865
23,50,28.15816153
23,100,54.50770676
23,150,67.02155573
23,170,69.59694136
23,180,70.48309475
23,186,70.90771119
23,192,71.25848119
23,196,71.47078703
23,200,71.66771203
24,180,17.59
24,100,9.85
24,50,4.93
25,-180,17.65
25,-100,9.85
25,-50,4.93
25,170,-16.7566
26,180,17.58
26,100,9.89
26,50,4.96
27,180,17.61
27,100,9.84
27,50,4.92
28,180,17.59
28,100,9.84
28,50,4.93
29,-180,17.44
29,-100,9.73
29,-50,4.87
29,170,-16.7566
30,180,17.58
30,100,9.89
30,50,4.96
31,180,17.62
31,100,9.87
31,50,4.93
32,100,321.29
32,90,293.9
32,50,165.89
32,25,83
33,100,-321.29
33,90,-293.9
33,50,-165.89
33,25,-83
34,100,-328.35
34,90,-303.27
34,50,-172.15
34,25,-85.37
35,100,-328.56
35,90,-303.71
35,50,-172.57
35,25,-85.97
36,100,-328.35
36,90,-303.27
36,50,-172.15
36,25,-85.37
37,100,-328.56
37,90,-303.71
37,50,-172.57
37,25,-85.97
38,100,-328.35
38,90,-303.27
38,50,-172.15
38,25,-85.37
39,100,-328.56
39,90,-303.71
39,50,-172.57
39,25,-85.97
40,100,-328.35
40,90,-303.27
40,50,-172.15
40,25,-85.37
41,100,-328.56
41,90,-303.71
41,50,-172.57
41,25,-85.97
42,100,-328.35
42,90,-303.27
42,50,-172.15
42,25,-85.37
43,100,-328.56
43,90,-303.71
43,50,-172.57
43,25,-85.97
44,100,-328.35
44,90,-303.27
44,50,-172.15
44,25,-85.37
45,100,-328.56
45,90,-303.71
45,50,-172.57
45,25,-85.97
46,100,-328.35
46,90,-303.27
46,50,-172.15
46,25,-85.37
47,100,-328.56
47,90,-303.71
47,50,-172.57
47,25,-85.97
48,100,-328.35
48,90,-303.27
48,50,-172.15
48,25,-85.37
49,100,-328.56
49,90,-303.71
49,50,-172.57
49,25,-85.97
50,100,-328.35
50,90,-303.27
50,50,-172.15
50,25,-85.37
51,100,-328.56
51,90,-303.71
51,50,-172.57
51,25,-85.97
52,201.5,-410
52,186,-404
52,170.5,-396
52,155,-386
52,139.5,-374
52,124,-360
52,111.6,-345
52,99.2,-325
52,86.8,-292
52,74.4,-253
52,62,-212
52,49.6,-170
52,37.2,-128
52,24.8,-86
52,12.4,-44
52,0,-3.7
53,100,-328.35
53,90,-303.27
53,50,-172.15
53,25,-85.37
54,100,-328.56
54,90,-303.71
54,50,-172.57
54,25,-85.97
55,100,-328.35
55,90,-303.27
55,50,-172.15
55,25,-85.37
56,100,-328.56
56,90,-303.71
56,50,-172.57
56,25,-85.97
57,100,-328.35
57,90,-303.27
57,50,-172.15
57,25,-85.37
58,100,-328.56
58,90,-303.71
58,50,-172.57
58,25,-85.97
59,100,-328.35
59,90,-303.27
59,50,-172.15
59,25,-85.37
60,100,-328.56
60,90,-303.71
60,50,-172.57
60,25,-85.97
61,100,-328.35
61,90,-303.27
61,50,-172.15
61,25,-85.37
62,100,-328.56
62,90,-303.71
62,50,-172.57
62,25,-85.97
63,100,-328.35
63,90,-303.27
63,50,-172.15
63,25,-85.37
64,100,-328.56
64,90,-303.71
64,50,-172.57
64,25,-85.97
65,100,-328.35
65,90,-303.27
65,50,-172.15
65,25,-85.37
66,100,-328.56
66,90,-303.71
66,50,-172.57
66,25,-85.97
67,100,-328.35
67,90,-303.27
67,50,-172.15
67,25,-85.37
68,100,-328.56
68,90,-303.71
68,50,-172.57
68,25,-85.97
69,100,-328.35
69,90,-303.27
69,50,-172.15
69,25,-85.37
70,100,-328.56
70,90,-303.71
70,50,-172.57
70,25,-85.97
71,100,-328.35
71,90,-303.27
71,50,-172.15
71,25,-85.37
72,100,-328.56
72,90,-303.71
72,50,-172.57
72,25,-85.97
73,100,-328.35
73,90,-303.27
73,50,-172.15
73,25,-85.37
74,100,-328.56
74,90,-303.71
74,50,-172.57
74,25,-85.97
75,100,-328.35
75,90,-303.27
75,50,-172.15
75,25,-85.37
76,100,-328.56
76,90,-303.71
76,50,-172.57
76,25,-85.97
77,100,-328.35
77,90,-303.27
77,50,-172.15
77,25,-85.37
78,100,-328.56
78,90,-303.71
78,50,-172.57
78,25,-85.97
79,100,321.29
79,90,293.9
79,50,165.89
79,25,83
80,100,-321.29
80,90,-293.9
80,50,-165.89
80,25,-83
81,100,321.29
81,90,293.9
81,50,165.89
81,25,83
81,15,50
82,0,8.56174775
82,15,248.1771661
82,30,486.3086252
82,40,650.2286437
82,50,811.1429332
82,60,971.8858127
82,70,1132.171519
82,80,1291.657242
82,90,1450.857326
82,100,1609.143025
83,0,8.6090066
83,15,248.1197586
83,30,489.7963683
83,40,650.0881589
83,50,810.9921024
83,60,971.6628292
83,70,1131.779541
83,80,1291.284151
83,90,1450.409715
83,100,1608.631392
84,0,-8.15104615
84,15,-250.2800241
84,30,-490.8165716
84,40,-650.9622583
84,50,-811.225057
84,60,-971.4875414
84,70,-1131.37109
84,80,-1290.700637
84,90,-1449.534545
84,100,-1607.43553
85,0,-8.80156059
85,15,-250.6238433
85,30,-490.549468
85,40,-650.2113684
85,50,-810.4480803
85,60,-970.6171352
85,70,-1130.177568
85,80,-1289.3661
85,90,-1447.912172
85,100,-1605.849635
86,0,-8.20408333
86,15,-247.6707358
86,30,-489.4173358
86,40,-649.6798014
86,50,-810.2922067
86,60,-970.8753036
86,70,-1130.729742
86,80,-1290.175932
86,90,-1448.980679
86,100,-1607.406502
87,0,-8.14781843
87,15,-247.720803
87,30,-489.3599696
87,40,-649.4481952
87,50,-810.1480406
87,60,-970.6150437
87,70,-1130.353203
87,80,-1289.741383
87,90,-1448.604788
87,100,-1606.680967
88,0,-8.78072719
88,15,-248.3760305
88,30,-489.8746627
88,40,-650.1118933
88,50,-810.8225465
88,60,-971.5669969
88,70,-1131.635006
88,80,-1291.263608
88,90,-1450.249678
88,100,-1609.000269
89,0,-8.45765665
89,15,-248.2232039
89,30,-489.9408859
89,40,-650.1775871
89,50,-810.9552836
89,60,-971.5639001
89,70,-1131.496281
89,80,-1295.452321
89,90,-1452.30779
89,100,-1609.298494
90,0,8.00904479
90,15,249.9537331
90,30,490.3506874
90,40,650.1468529
90,50,810.4386711
90,60,970.7596378
90,70,1130.410135
90,80,1289.739874
90,90,1448.28241
90,100,1606.41683
91,0,8.5323036
91,15,248.2570228
91,30,490.0085839
91,40,650.2114959
91,50,811.0906299
91,60,971.7669024
91,70,1131.902152
91,80,1291.564036
91,90,1450.51592
91,100,1608.757737
92,100,321.29
92,90,293.9
92,50,165.89
92,25,83
93,100,-321.29
93,90,-293.9
93,50,-165.89
93,25,-83
94,100,-321.29
94,90,-293.9
94,50,-165.89
94,25,-83
95,100,-321.29
95,90,-293.9
95,50,-165.89
95,25,-83
96,100,-321.29
96,90,-293.9
96,50,-165.89
96,25,-83
97,100,-321.29
97,90,-293.9
97,50,-165.89
97,25,-83
98,100,-321.29
98,90,-293.9
98,50,-165.89
98,25,-83
99,100,-321.29
99,90,-293.9
99,50,-165.89
99,25,-83
100,100,-321.29
100,90,-293.9
100,50,-165.89
100,25,-83
101,100,-321.29
101,90,-293.9
101,50,-165.89
101,25,-83
102,100,-321.29
102,90,-293.9
102,50,-165.89
102,25,-83
103,100,-321.29
103,90,-293.9
103,50,-165.89
103,25,-83
104,100,-321.29
104,90,-293.9
104,50,-165.89
104,25,-83
105,100,-321.29
105,90,-293.9
105,50,-165.89
105,25,-83
106,100,-321.29
106,90,-293.9
106,50,-165.89
106,25,-83
107,100,-321.29
107,90,-293.9
107,50,-165.89
107,25,-83
108,100,-321.29
108,90,-293.9
108,50,-165.89
108,25,-83
109,100,-321.29
109,90,-293.9
109,50,-165.89
109,25,-83
110,100,-321.29
110,90,-293.9
110,50,-165.89
110,25,-83
111,100,-321.29
111,90,-293.9
111,50,-165.89
111,25,-83
112,200,-321.29
112,180,-293.9
112,100,-165.89
112,50,-83
113,100,-321.29
113,90,-293.9
113,50,-165.89
113,25,-83
114,100,-321.29
114,90,-293.9
114,50,-165.89
114,25,-83
115,9.3372,0.001
115,135.198,0.013661658
115,270.04,0.027283567
115,405.8,0.041058288
115,540,0.054710257
115,675.2,0.068522869
115,810,0.082345088
115,945.2,0.096278151
115,1080,0.110181138
115,1215.6,0.123561786
115,1350.6,0.134918884
115,1470.2,0.143888247
116,0,0.049221301
116,200,0.056765326
117,0,0.07229624
117,200,0.084921032
119,0,0
119,1,0.1521
120,0,0
120,1,0.1626
121,0,0
121,1,0.1596
122,0,0
122,1,0.1521
123,0,0
123,5,1.11160319
124,0,0
124,5,1.12043932
125,0,0
125,5,1.11075847
126,0,0
126,5,1.10404701
127,0,0
127,5,1.10451337
128,0,0
128,5,1.1166923
129,0,0
129,1,0.1521
130,0,0
130,1,0.1626
131,0,0
131,1,0.1596
132,0,0
132,1,0.1521
133,0,0
133,1,0.1521
134,0,0
134,1,0.1626
135,0,0
135,1,0.1596
136,0,0
136,1,0.1521
137,0,0
137,1,0.1521
138,0,0
138,1,0.1626
139,0,0
139,1,0.1596
140,0,0
140,1,0.1521
141,0,0
141,1,0.1521
142,0,0
142,1,0.1626
143,0,0
143,1,0.1596
144,0,0
144,1,0.1521
145,0,0
145,1,0.1521
146,0,0
146,1,0.1626
147,0,0
147,1,0.1596
148,0,0
148,1,0.1521
149,0,0
149,1,0.1521
150,0,0
150,1,0.1626
151,0,0
151,1,0.1596
152,0,0
152,1,0.1521
153,0,0
153,1,0.1521
154,0,0
154,1,0.1626
155,0,0
155,1,0.1596
156,0,0
156,1,0.1521
157,0,0
157,1,0.1521
158,0,0
158,1,0.1626
159,0,0
159,1,0.1596
160,0,0
160,1,0.1521
161,0,0
161,1,0.1521
162,0,0
162,1,0.1626
163,0,0
163,1,0.1596
164,0,0
164,1,0.1521
165,0,0
165,1,0.1521
166,0,0
166,1,0.1626
167,0,0
167,1,0.1596
168,0,0
168,1,0.1521
169,0,0
169,1,0.1521
170,0,0
170,1,0.1626
171,0,0
171,1,0.1596
172,0,0
172,1,0.1521
173,0,0
173,1,0.1521
174,0,0
174,1,0.1626
175,0,0
175,1,0.1596
176,0,0
176,1,0.1521
177,0,0
177,1,0.1521
178,0,0
178,1,0.1626
179,0,0
179,1,0.1596
180,0,0
180,1,0.1521
181,0,0
181,1,0.1521
182,0,0
182,1,0.1626
183,0,0
183,1,0.1596
184,0,0
184,1,0.1521
185,0,0
185,1,0.1521
186,0,0
186,1,0.1626
187,0,0
187,1,0.1596
188,0,0
188,1,0.1521
189,0,0
189,1,0.1521
190,0,0
190,1,0.1626
191,0,0
191,1,0.1596
192,0,0
192,1,0.1521
193,0,0
193,1,0.1521
194,0,0
194,1,0.1626
195,0,0
195,1,0.1596
196,0,0
196,1,0.1521
197,0,0
197,1,0.1521
198,0,0
198,1,0.1626
199,0,0
199,1,0.1596
200,0,0
200,1,0.1521
201,0,0
201,1,0.1521
202,0,0
202,1,0.1626
203,0,0
203,1,0.1596
204,0,0
204,1,0.1521
205,0,0
205,1,0.1521
206,0,0
206,1,0.1626
207,0,0
207,1,0.1596
208,0,0
208,1,0.1521
209,0,0
209,1,0.1521
210,0,0
210,1,0.1626
211,0,0
211,1,0.1596
212,0,0
212,1,0.1521
213,0,0
213,1,0.1521
214,0,0
214,1,0.1626
215,0,0
215,1,0.1596
216,0,0
216,1,0.1521
